,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,"
North America
","24,889,808","+209,938","534,030","+4,104","15,387,566","+116,364","8,968,212","35,696",,,,,,North America,"
",,
1,,"
Asia
","21,140,900","+84,414","344,051","+1,058","19,648,119","+77,999","1,148,730","24,354",,,,,,Asia,"
",,
2,,"
South America
","13,537,214","+60,557","368,940",+974,"12,099,227","+2,832","1,069,047","18,183",,,,,,South America,"
",,
3,,"
Europe
","24,937,073","+265,860","569,930","+5,342","13,383,398","+144,422","10,983,745","28,119",,,,,,Europe,"
",,
4,,"
Africa
","2,903,318","+9,311","69,032",+182,"2,393,643","+6,829","440,643","2,368",,,,,,Africa,"
",,
5,,"
Oceania
","48,730",+17,"1,066",,"33,599",+12,"14,065",20,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,706,,0,0,,,,,,,"
",,
7,,World,"87,457,764","+630,097","1,887,064","+11,660","62,946,258","+348,458","22,624,442","108,740","11,220",242.1,,,,All,"
",,
8,1,USA,"21,776,661","+190,100","368,748 ","+2,889","12,966,905","+101,663","8,441,008","29,815","65,592","1,111","263,145,348","792,600","332,002,717 ",North America,15,900,1
9,2,India,"10,395,938","+20,460","150,372 ",+221,"10,016,163","+19,662","229,403","8,944","7,495",108,"177,463,405","127,950","1,386,975,123 ",Asia,133,"9,224",8
10,3,Brazil,"7,867,156","+55,149","198,657 ",+880,"6,963,407",,"705,092","8,318","36,877",931,"28,600,000","134,060","213,337,236 ",South America,27,"1,074",7
11,4,Russia,"3,308,601","+24,217","59,951 ",+445,"2,685,723","+23,055","562,927","2,300","22,667",411,"92,300,000","632,335","145,966,823 ",Europe,44,"2,435",2
12,5,UK,"2,836,801","+62,322","77,346 ","+1,041","1,345,824","+19,545","1,413,631","2,645","41,675","1,136","57,652,433","846,960","68,069,826 ",Europe,24,880,1
13,6,France,"2,705,618","+25,379","66,565 ",+283,"198,756","+1,253","2,440,297","2,616","41,403","1,019","36,457,261","557,893","65,348,117 ",Europe,24,982,2
14,7,Turkey,"2,283,931","+13,830","22,070 ",+191,"2,164,040","+8,702","97,821","3,303","26,932",260,"25,498,210","300,669","84,805,018 ",Asia,37,"3,843",3
15,8,Italy,"2,201,945","+20,331","76,877 ",+548,"1,556,356","+20,227","568,712","2,571","36,447","1,272","27,317,974","452,166","60,415,791 ",Europe,27,786,2
16,9,Spain,"1,982,544",,"51,430 ",,N/A,N/A,N/A,"2,220","42,395","1,100","27,839,319","595,313","46,764,144 ",Europe,24,909,2
17,10,Germany,"1,840,943","+26,366","38,183 ","+1,003","1,451,000","+26,300","351,760","5,569","21,936",455,"34,801,593","414,689","83,922,229 ",Europe,46,"2,198",2
18,11,Colombia,"1,702,966",,"44,426 ",,"1,559,010",,"99,530","3,482","33,286",868,"8,353,073","163,269","51,161,365 ",South America,30,"1,152",6
19,12,Argentina,"1,662,730",,"43,785 ",,"1,466,616",,"152,329","3,460","36,617",964,"5,001,234","110,138","45,408,952 ",South America,27,"1,037",9
20,13,Mexico,"1,466,490","+11,271","128,822 ","+1,065","1,113,137","+7,303","224,531","3,913","11,313",994,"3,711,777","28,634","129,628,383 ",North America,88,"1,006",35
21,14,Poland,"1,344,763","+14,151","30,055 ",+553,"1,087,744","+8,852","226,964","1,606","35,552",795,"7,443,579","196,789","37,825,153 ",Europe,28,"1,259",5
22,15,Iran,"1,261,903","+6,283","55,830 ",+82,"1,040,521","+11,493","165,552","4,780","14,926",660,"7,939,633","93,911","84,544,087 ",Asia,67,"1,514",11
23,16,South Africa,"1,127,759",,"30,524 ",,"920,879",,"176,356",546,"18,893",511,"6,828,147","114,389","59,692,090 ",Africa,53,"1,956",9
24,17,Ukraine,"1,090,496","+6,911","19,357 ",+228,"761,898","+14,490","309,241",177,"25,013",444,"5,645,178","129,485","43,597,316 ",Europe,40,"2,252",8
25,18,Peru,"1,022,018",,"37,925 ",,"960,896",,"23,197","1,305","30,777","1,142","5,581,668","168,086","33,207,117 ",South America,32,876,6
26,19,Netherlands,"841,163","+7,099","11,999 ",+173,N/A,N/A,N/A,704,"49,035",699,"6,001,738","349,865","17,154,455 ",Europe,20,"1,430",3
27,20,Indonesia,"788,402","+8,854","23,296 ",+187,"652,513","+6,767","112,593",,"2,867",85,"7,645,288","27,800","275,008,824 ",Asia,349,"11,805",36
28,21,Czechia,"776,967","+17,278","12,436 ",+90,"638,183",+492,"126,348","1,004","72,483","1,160","3,880,950","362,054","10,719,246 ",Europe,14,862,3
29,22,Romania,"654,007","+5,719","16,299 ",+121,"586,764","+4,908","50,944","1,070","34,114",850,"4,902,726","255,736","19,171,018 ",Europe,29,"1,176",4
30,23,Belgium,"652,735","+1,848","19,827 ",+77,"45,303",,"587,605",430,"56,195","1,707","7,052,844","607,185","11,615,638 ",Europe,18,586,2
31,24,Chile,"625,483","+2,382","16,816 ",+28,"591,081","+2,000","17,586",820,"32,576",876,"6,661,323","346,933","19,200,584 ",South America,31,"1,142",3
32,25,Canada,"625,051","+6,405","16,336 ",+103,"529,439","+5,875","79,276",829,"16,487",431,"14,180,625","374,038","37,912,302 ",North America,61,"2,321",3
33,26,Iraq,"599,965",+839,"12,865 ",+9,"549,346","+1,889","37,754",140,"14,748",316,"4,740,864","116,535","40,681,779 ",Asia,68,"3,162",9
34,27,Bangladesh,"518,898",+978,"7,687 ",+17,"463,480","+1,021","47,731",,"3,135",46,"3,302,429","19,950","165,532,286 ",Asia,319,"21,534",50
35,28,Pakistan,"492,594","+2,118","10,461 ",+52,"448,393","+4,033","33,740","2,243","2,208",47,"6,923,857","31,038","223,080,072 ",Asia,453,"21,325",32
36,29,Philippines,"480,737","+1,047","9,347 ",+26,"448,700",+339,"22,690",727,"4,357",85,"6,894,499","62,491","110,328,496 ",Asia,229,"11,804",16
37,30,Switzerland,"470,789","+4,808","8,109 ",+91,"317,600",,"145,080",410,"54,193",933,"3,765,936","433,504","8,687,199 ",Europe,18,"1,071",2
38,31,Sweden,"469,748",,"8,985 ",,N/A,N/A,N/A,377,"46,364",887,"4,516,665","445,795","10,131,703 ",Europe,22,"1,128",2
39,32,Israel,"462,209","+6,070","3,512 ",+17,"397,896","+4,185","60,801",887,"50,253",382,"8,488,069","922,858","9,197,590 ",Asia,20,"2,619",1
40,33,Morocco,"447,081","+1,642","7,618 ",+37,"418,744","+2,036","20,719",701,"12,039",205,"4,541,376","122,294","37,135,001 ",Africa,83,"4,875",8
41,34,Portugal,"446,606","+10,027","7,377 ",+91,"352,225","+3,115","87,004",513,"43,865",725,"5,791,428","568,830","10,181,300 ",Europe,23,"1,380",2
42,35,Austria,"372,190","+2,469","6,525 ",+68,"344,974","+1,935","20,691",361,"41,204",722,"3,857,382","427,038","9,032,878 ",Europe,24,"1,384",2
43,36,Saudi Arabia,"363,377",+118,"6,272 ",+7,"354,899",+144,"2,206",351,"10,355",179,"11,214,105","319,570","35,091,237 ",Asia,97,"5,595",3
44,37,Serbia,"352,120","+2,882","3,444 ",+39,"31,536",,"317,140",234,"40,385",395,"2,358,102","270,452","8,719,117 ",Europe,25,"2,532",4
45,38,Hungary,"331,768","+2,047","10,198 ",+118,"179,541","+2,965","142,029",396,"34,389","1,057","2,750,625","285,109","9,647,641 ",Europe,29,946,4
46,39,Jordan,"302,856","+1,553","3,955 ",+15,"282,727","+1,707","16,174",210,"29,532",386,"3,316,615","323,409","10,255,171 ",Asia,34,"2,593",3
47,40,Nepal,"263,193",+409,"1,899 ",+6,"256,161",+495,"5,133",,"8,951",65,"1,964,160","66,798","29,404,407 ",Asia,112,"15,484",15
48,41,Panama,"259,770",,"4,238 ",,"206,087",,"49,445",227,"59,724",974,"1,355,313","311,601","4,349,510 ",North America,17,"1,026",3
49,42,Japan,"252,317","+4,357","3,719 ",+64,"207,039","+3,618","41,559",784,"1,998",29,"5,129,612","40,622","126,275,772 ",Asia,500,"33,954",25
50,43,Georgia,"233,879","+1,800","2,666 ",+20,"223,276",+489,"7,937",,"58,687",669,"1,918,428","481,388","3,985,201 ",Asia,17,"1,495",2
51,44,Azerbaijan,"222,200",+799,"2,818 ",+26,"201,596","+2,383","17,786",,"21,814",277,"2,231,993","219,120","10,186,158 ",Asia,46,"3,615",5
52,45,UAE,"218,766","+2,067",689 ,+4,"195,520","+2,199","22,557",,"21,983",69,"21,740,209","2,184,573","9,951,696 ",Asia,45,"14,444",0
53,46,Ecuador,"217,377","+1,294","14,146 ",+43,"190,350",,"12,881",390,"12,226",796,"762,739","42,898","17,780,151 ",South America,82,"1,257",23
54,47,Croatia,"216,286","+1,896","4,223 ",+44,"205,078",+775,"6,985",209,"52,854","1,032","1,051,597","256,981","4,092,119 ",Europe,19,969,4
55,48,Bulgaria,"205,390",,"7,902 ",,"126,766",,"70,722",393,"29,675","1,142","1,185,140","171,232","6,921,256 ",Europe,34,876,6
56,49,Belarus,"204,958","+1,855","1,480 ",+9,"186,394","+1,820","17,084",,"21,694",157,"4,068,847","430,670","9,447,715 ",Europe,46,"6,384",2
